Product Name,Product Type,Description,Sport,Product ID
Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
Hydration Hero,Hydration,Lightweight and insulated backpack with a hydration bladder for keeping players hydrated during training and games.,soccer,PID007
Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
Batting Gloves (Youth),Gloves,Comfortable and lightweight batting gloves with finger protection for young players.,baseball,PID013
Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
Cyclone Spin Wedges (Set of 4),Wedge Set,Golf clubs for short-distance shots with high spin,golf,PID030
Tour Lite Stand Bag,Golf Bag,Portable bag to carry golf clubs,golf,PID031
Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
Zen Putting Green (Indoor),Putting Green,Artificial turf for practicing putting,golf,PID038
Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
Double Duty Basketball by Iron Grip,Ball,Slightly heavier basketball for developing strength and shooting power.,basketball,PID051
eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
GripZone Enhancer Spray,Grip,Spray-on solution for enhancing grip on the basketball for improved control.,basketball,PID054
HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
Team Spirit Mesh Jersey (Customizable),Jersey,Breathable and customizable mesh jersey for showcasing team spirit or individual style.,basketball,PID058
QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
